geocode,state,county,city,tax_district,jurisdiction
US0000000000,  ,,,,COUNTRY
US0100000000,AL,,,,STATE
US0200000000,AK,,,,STATE
US0400000000,AZ,,,,STATE
US0500000000,AR,,,,STATE
US0600000000,CA,,,,STATE
US0800000000,CO,,,,STATE
US0900000000,CT,,,,STATE
US1000000000,DE,,,,STATE
US1100000000,DC,,,,STATE
US1200000000,FL,,,,STATE
US1300000000,GA,,,,STATE
US1500000000,HI,,,,STATE
US1600000000,ID,,,,STATE
US1700000000,IL,,,,STATE
US1800000000,IN,,,,STATE
US1900000000,IA,,,,STATE
US2000000000,KS,,,,STATE
US2100000000,KY,,,,STATE
US2200000000,LA,,,,STATE
US2300000000,ME,,,,STATE
US2400000000,MD,,,,STATE
US2500000000,MA,,,,STATE
US2600000000,MI,,,,STATE
US2700000000,MN,,,,STATE
US2800000000,MS,,,,STATE
US2900000000,MO,,,,STATE
US3000000000,MT,,,,STATE
US3100000000,NE,,,,STATE
US3200000000,NV,,,,STATE
US3300000000,NH,,,,STATE
US3400000000,NJ,,,,STATE
US3500000000,NM,,,,STATE
US3600000000,NY,,,,STATE
US3700000000,NC,,,,STATE
US3800000000,ND,,,,STATE
US3900000000,OH,,,,STATE
US4000000000,OK,,,,STATE
US4100000000,OR,,,,STATE
US4200000000,PA,,,,STATE
US4400000000,RI,,,,STATE
US4500000000,SC,,,,STATE
US4600000000,SD,,,,STATE
US4700000000,TN,,,,STATE
US4800000000,TX,,,,STATE
US4900000000,UT,,,,STATE
US5000000000,VT,,,,STATE
US5100000000,VA,,,,STATE
US5300000000,WA,,,,STATE
US5400000000,WV,,,,STATE
US5500000000,WI,,,,STATE
US5600000000,WY,,,,STATE
US6000000000,AS,,,,STATE
US6400000000,FM,,,,STATE
US6600000000,GU,,,,STATE
US6800000000,MH,,,,STATE
US6900000000,MP,,,,STATE
US7000000000,PW,,,,STATE
US7200000000,PR,,,,STATE
US7800000000,VI,,,,STATE
US9600000000,AA,,,,STATE
US9700000000,AE,,,,STATE
US9800000000,AP,,,,STATE
US08001A0022,CO,ADAMS,ARVADA,,CITY
US08059A0032,CO,JEFFERSON,ARVADA,,CITY
US08059A0053,CO,JEFFERSON,ARVADA,,CITY
US08001A0017,CO,ADAMS,AURORA,,CITY
US08001A0027,CO,ADAMS,AURORA,,CITY
US08005A0014,CO,ARAPAHOE,AURORA,,CITY
US08005A0031,CO,ARAPAHOE,AURORA,,CITY
US08005A0032,CO,ARAPAHOE,AURORA,,CITY
US08005A0033,CO,ARAPAHOE,AURORA,,CITY
US08035A0028,CO,DOUGLAS,AURORA,,CITY
US08013A0025,CO,BOULDER,BOULDER,,CITY
US08014A0009,CO,BROOMFIELD,BROOMFIELD,,CITY
US08014A0010,CO,BROOMFIELD,BROOMFIELD,,CITY
US08014A0011,CO,BROOMFIELD,BROOMFIELD,,CITY
US08014A0012,CO,BROOMFIELD,BROOMFIELD,,CITY
US08059A0043,CO,JEFFERSON,BROOMFIELD,,CITY
US0803512415,CO,DOUGLAS,CASTLE ROCK,,CITY
US08035A0031,CO,DOUGLAS,CASTLE ROCK,,CITY
US08041A0008,CO,EL PASO,COLORADO SPRINGS,,CITY
US08041A0010,CO,EL PASO,COLORADO SPRINGS,,CITY
US08041A0013,CO,EL PASO,COLORADO SPRINGS,,CITY
US08041A0015,CO,EL PASO,COLORADO SPRINGS,,CITY
US08001A0024,CO,ADAMS,DENVER,,CITY
US08005A0028,CO,ARAPAHOE,DENVER,,CITY
US08031A0002,CO,DENVER,DENVER,,CITY
US08059A0036,CO,JEFFERSON,DENVER,,CITY
US08005A0022,CO,ARAPAHOE,ENGLEWOOD,,CITY
US0806927425,CO,LARIMER,FORT COLLINS,,CITY
US08069A0005,CO,LARIMER,FORT COLLINS,,CITY
US08069A0006,CO,LARIMER,FORT COLLINS,,CITY
US08069A0007,CO,LARIMER,FORT COLLINS,,CITY
US08069A0008,CO,LARIMER,FORT COLLINS,,CITY
US08005A0020,CO,ARAPAHOE,LITTLETON,,CITY
US08035A0020,CO,DOUGLAS,LITTLETON,,CITY
US08035A0024,CO,DOUGLAS,LITTLETON,,CITY
US08059A0044,CO,JEFFERSON,LITTLETON,,CITY
US08013A0029,CO,BOULDER,LONGMONT,,CITY
US0812345970,CO,WELD,LONGMONT,,CITY
US08123A0010,CO,WELD,LONGMONT,,CITY
US08035A0023,CO,DOUGLAS,PARKER,,CITY
US08035A0027,CO,DOUGLAS,PARKER,,CITY
US17031A0003,IL,COOK,CHICAGO,,CITY
US17031A0047,IL,COOK,CHICAGO,,CITY
US17043A0053,IL,DUPAGE,CHICAGO,,CITY
US22033A0009,LA,EAST BATON ROUGE,BATON ROUGE,,CITY
US22033A0020,LA,EAST BATON ROUGE,BATON ROUGE,,CITY
US22033A0022,LA,EAST BATON ROUGE,BATON ROUGE,,CITY
US2205100000,LA,JEFFERSON,NEW ORLEANS,,CITY
US22071A0001,LA,ORLEANS,NEW ORLEANS,,CITY
US22071A0002,LA,ORLEANS,NEW ORLEANS,,CITY
US22071A0003,LA,ORLEANS,NEW ORLEANS,,CITY
US22071A0004,LA,ORLEANS,NEW ORLEANS,,CITY
