geocode,tax_cat,tax_type
US0100000000,01,01
US0100000000,01,02
US0100000000,01,03
US0100000000,01,04
US0100000000,01,05
US0200000000,01,02
US0200000000,01,04
US0400000000,01,01
US0400000000,01,02
US0400000000,01,04
US0400000000,01,05
US0500000000,01,01
US0500000000,01,02
US0500000000,01,04
US0600000000,01,01
US0600000000,01,02
US0600000000,01,03
US0600000000,01,04
US0600000000,01,05
US0800000000,01,01
US0800000000,01,02
US0800000000,01,03
US0800000000,01,04
US0800000000,01,05
US0900000000,01,01
US0900000000,01,05
US0900000000,22,01
US1000000000,01,01
US1100000000,01,01
US1200000000,01,01
US1200000000,01,02
US1300000000,01,01
US1300000000,01,02
US1300000000,01,03
US1300000000,01,04
US1500000000,01,01
US1500000000,01,02
US1600000000,01,01
US1600000000,01,04
US1700000000,01,01
US1700000000,01,02
US1700000000,01,03
US1700000000,01,04
US1700000000,01,05
US1800000000,01,01
US1900000000,01,01
US1900000000,01,02
US2000000000,01,01
US2000000000,01,02
US2000000000,01,04
US2000000000,01,05
US2100000000,01,01
US2200000000,01,01
US2200000000,01,02
US2200000000,01,05
US2300000000,01,01
US2400000000,01,01
US2400000000,22,01
US2500000000,01,01
US2600000000,01,01
US2700000000,01,01
US2700000000,01,02
US2700000000,01,03
US2700000000,01,04
US2700000000,01,05
US2800000000,01,01
US2800000000,01,04
US2900000000,01,01
US2900000000,01,02
US2900000000,01,03
US2900000000,01,04
US2900000000,01,05
US3000000000,01,01
US3100000000,01,01
US3100000000,01,02
US3100000000,01,04
US3200000000,01,01
US3200000000,01,02
US3300000000,01,01
US3400000000,01,01
US3400000000,01,05
US3500000000,01,01
US3500000000,01,02
US3500000000,01,03
US3500000000,01,04
US3500000000,01,05
US3600000000,01,01
US3600000000,01,02
US3600000000,01,03
US3600000000,01,04
US3600000000,01,05
US3700000000,01,01
US3700000000,01,02
US3700000000,01,03
US3800000000,01,01
US3800000000,01,02
US3800000000,01,04
US3900000000,01,01
US3900000000,01,02
US3900000000,01,05
US4000000000,01,01
US4000000000,01,02
US4000000000,01,04
US4100000000,01,01
US4200000000,01,01
US4200000000,01,02
US4400000000,01,01
US4500000000,01,01
US4500000000,01,02
US4500000000,01,03
US4500000000,01,04
US4600000000,01,01
US4600000000,01,04
US4600000000,01,05
US4700000000,01,01
US4700000000,01,02
US4700000000,01,03
US4700000000,01,04
US4800000000,01,01
US4800000000,01,02
US4800000000,01,03
US4800000000,01,04
US4800000000,01,05
US4900000000,01,01
US4900000000,01,02
US5000000000,01,01
US5000000000,01,04
US5100000000,01,01
US5100000000,01,02
US5100000000,01,03
US5300000000,01,01
US5300000000,01,02
US5400000000,01,01
US5400000000,01,04
US5500000000,01,01
US5500000000,01,02
US5500000000,01,04
US5500000000,01,05
US5600000000,01,01
US5600000000,01,02
US5600000000,01,05
US7200000000,01,01
US7200000000,01,02
US17031A0003,01,47
US17031A0047,01,47
US17043A0053,01,47
US08001A0022,01,04
US08059A0032,01,04
US08059A0053,01,04
US08001A0017,01,04
US08001A0027,01,04
US08005A0014,01,04
US08005A0031,01,04
US08005A0032,01,04
US08005A0033,01,04
US08035A0028,01,04
US08013A0025,01,04
US08014A0009,01,04
US08014A0010,01,04
US08014A0011,01,04
US08014A0012,01,04
US08059A0043,01,04
US0803512415,01,04
US08035A0031,01,04
US08041A0008,01,04
US08041A0010,01,04
US08041A0013,01,04
US08041A0015,01,04
US08001A0024,01,04
US08005A0028,01,04
US08031A0002,01,04
US08059A0036,01,04
US08005A0022,01,04
US0806927425,01,04
US08069A0005,01,04
US08069A0006,01,04
US08069A0007,01,04
US08069A0008,01,04
US08005A0020,01,04
US08035A0020,01,04
US08035A0024,01,04
US08059A0044,01,04
US08013A0029,01,04
US0812345970,01,04
US08123A0010,01,04
US08035A0023,01,04
US08035A0027,01,04
US22033A0009,01,04
US22033A0020,01,04
US22033A0022,01,04
US2205100000,01,04
US22071A0001,01,04
US22071A0002,01,04
US22071A0003,01,04
US22071A0004,01,04
